STRAIN	Afu5g14900_hrmA	Afu5g14900_hrmA-like	Afu5g14910_cgnA	Afu5g14910_cgnA-like	Afu8g06780_aclF	Afu8g06780_aclF-like
D17	0	0	0	1	1	1
MO69250EXP	0	0	0	1	1	1
B6074	0	0	0	1	1	0
MO91298SB	0	0	0	0	1	0
IFM_59056	0	0	0	1	1	0
B5856	0	0	0	1	1	0
B5866	0	0	0	1	1	0
CM6458	0	0	0	1	1	1
JCM10253	0	0	0	0	1	0
F17764	0	0	0	1	1	1
Afu_257_E11	0	0	0	1	1	0
F17729W	0	0	0	1	1	1
F18149-JCVI	0	0	0	1	1	1
LMB-35Aa	0	0	0	0	1	0
B6893_CDC-4	0	0	0	1	1	0
Afu_942_09	0	0	0	1	1	0
08-19-02-61	0	0	0	1	1	0
F15927	0	0	0	0	1	0
12-7505220	0	0	0	1	1	0
B7586_CDC-30	0	1	0	1	1	0
F16134	0	0	0	1	1	1
MO76959EXP	0	0	0	1	1	1
F13952	0	0	0	1	1	0
NCPF-7820	0	1	0	1	1	0
F20140	0	0	0	1	1	1
CM5757	0	0	0	1	1	1
F21732	0	0	0	0	1	1
IFM_59361	1	0	1	1	1	1
CM237	1	1	1	1	1	0
IFM_61118	0	0	0	1	1	1
MO68507EXP	0	0	0	1	1	1
Afu_166_E11	0	0	0	1	1	0
CM7560	0	0	0	1	1	0
B5461_CDC-2	0	0	0	0	1	0
AF293	1	0	1	1	1	0
CM7555	0	0	0	0	1	1
IFM_58029	0	0	0	0	1	0
ATCC_46645	1	0	1	1	1	0
08-12-12-13	0	0	0	1	1	0
NCPF-7822	0	0	0	0	1	1
F5211G	0	0	0	1	1	0
B5269_CDC-24	0	0	0	1	1	1
AF300	0	0	0	0	1	1
1F1SW_F4	0	0	0	1	1	0
MO54056EXP	0	0	0	1	1	0
F17582	0	0	0	1	1	0
IFM_62516	1	0	1	1	1	1
AFIS_2302_CDC-18	0	0	0	1	1	0
CM7632	0	0	0	1	1	0
CEA10-MCH	1	1	1	1	1	1
B6069	0	0	0	1	1	0
SF4S10	0	0	0	0	1	1
Afum_niveus_RP2014	1	0	1	1	1	1
NCPF-7816	0	0	0	0	1	0
NCPF-7811	0	0	0	1	1	0
SF3S1	0	0	0	1	1	1
CM7570	0	0	0	0	1	0
IFM_59356-2	1	0	1	1	1	1
12-7504652	0	0	0	1	1	0
B5257_CDC-28	0	0	0	1	1	1
AFIS_23107_CDC-12	1	1	1	1	1	0
F16311	0	0	0	0	1	0
IFM_59359	1	0	1	1	1	1
B5288_CDC-16	0	0	0	1	1	0
F11628	0	0	0	1	1	0
COH_400	0	0	0	1	1	1
Moose-3_1_2	0	0	0	0	1	1
12-7504462	1	0	1	1	1	1
AFUG_100413-0667	0	0	0	1	1	1
CM2733	0	1	0	0	1	0
F20063	0	1	0	1	1	1
